#Everything after a '#' is a comment. This file was based on data from the GAMMA NMR libraries
#The gyromagnetic ratio is listed in radians per second per tesla
#
#proton number,	mass number,	multplicity,	gyromagnetic ratio (10^6 rads s^-1 T^-1 with hydrgen 1 set as 400.130 MHz)
#Electron
0        0        2        -176101
#Hydrogen
1        3        2        285.364
1        2        3        41.0698
1        1        2        267.538
#Helium
2        3        2        203.805
2        4        1        0
2        6        1        0
#Lithium
3        7        4        103.974
3        6        3        39.3708
#Beryllium
4        9        4        37.5943
#Boron
5        10        7        28.7443
5        11        4        85.805
#Carbon
6        12        1        0
6        13        2        67.2726
#Nitrogen
7        15        2        -27.1202
7        14        3        19.332
#Oxygen
8        17        6        36.2677
8        16        1        0
8        18        1        0
#Fluorine
9        19        2        251.737
#Neon
10        21        1        0
10        21        4        21.1193
10        20        1        0
#Sodium
11        23        4        70.7689
#Magnesium
12        25        6        16.3787
#Aluminum
13        27        6        69.7125
#Silicon
14        29        2        53.1519
#Phosphorus
15        31        2        108.302
#Sulfur
16        33        4        20.5362
#Chlorine
17        37        4        21.8207
17        35        4        26.2136
#Potassium
19        39        4        12.4833
19        41        4        6.85143
#Calcium
20        43        8        18.0028
#Scandium
21        45        8        64.9906
#Titanium
22        49        8        15.0822
22        47        6        15.0862
#Vanadium
23        50        13        26.6736
23        51        8        70.3704
#Chromium
24        53        4        15.121
#Manganese
25        55        6        66.2022
#Iron
26        57        2        8.66274
#Cobalt
27        59        8        63.4789
#Nickel
28        61        4        23.9075
#Copper
29        63        4        70.9722
29        65        4        76.0263
#Zinc
30        67        6        16.7398
#Gallium
31        71        4        81.5913
31        69        4        64.2117
31        73        10        9.33204
#Germanium
32        75        4        45.8104
#Arsenic
33        77        2        51.025
#Selenium
34        79        4        67.0293
#Bromine
35        81        4        72.2539
#Rubidium
37        85        6        25.8311
37        87        4        87.5414
#Strontium
38        87        10        11.5953
#Yttrium
39        89        2        13.1091
#Zirconium
40        91        6        24.8703
#Niobium
41        93        10        65.4827
#Molybdenum
42        95        6        17.4351
42        97        6        17.8022
#Technetium
43        99        10        60.2173
#Ruthenium
44        99        6        12.3442
44        101        6        13.8346
#Rhodium
45        103        2        8.52099
#Palladium
46        105        6        12.2426
#Silver
47        109        2        12.4512
47        107        2        10.8298
#Cadmium
48        111        2        56.721
48        113        2        59.3347
#Indium
49        113        10        58.4996
49        115        10        58.6253
#Tin
50        119        2        99.7673
50        117        2        95.3289
#Antimony
51        121        6        64.0245
51        123        8        34.6704
#Tellurium
52        125        2        84.4082
52        123        2        70.0147
#Iodine
53        127        6        53.5317
#Xenon
54        129        2        73.9957
54        131        4        21.9383
#Cesium
55        133        8        35.0903
#Barium
56        135        4        26.5773
56        137        4        29.7312
#Lanthanum
57        139        8        37.7922
57        138        11        35.2989
#Praseodymium
59        141        6        78.3645
#Neodymium
60        145        8        8.94891
60        143        8        14.546
#Samarium
62        149        8        8.79914
62        147        8        11.0437
#Europium
63        151        6        66.3519
63        153        6        29.2979
#Gadolinium
64        157        4        12.7721
64        155        4        10.2173
#Terbium
65        159        4        60.672
#Dysprosium
66        161        6        8.81251
66        163        6        12.2613
#Holmium
67        165        8        54.8803
#Erbium
68        167        8        7.73201
#Thulium
69        169        2        22.1282
#Ytterbium
70        173        6        12.9807
70        171        2        47.1215
#Lutetium
71        176        15        21.2102
71        175        8        30.5182
#Hafnium
72        179        10        5
72        177        8        8.34715
#Tantalum
73        181        8        32.0781
#Tungsten
74        183        2        11.1454
#Rhenium
75        185        6        60.2628
75        187        6        60.8705
#Osmium
76        189        4        20.7743
76        187        2        6.10524
#Iridium
77        191        4        4.59615
77        193        4        5.00535
#Platinum
78        195        2        57.4191
#Gold
79        197        4        4.62557
#Mercury
80        201        4        17.6899
80        199        2        47.9185
#Thallium
81        205        2        154.599
81        203        2        153.096
#Lead
82        207        2        55.803
#Bismuth
83        209        10        42.9908
#Astatine
#Actinium
#Thorium
#Protactinium
#Uranium
92        235        8        4.78871
