#Everything after a '#' is a comment. This file was based on data from the GAMMA NMR libraries
#
#proton number,	mass number,	multplicity,	gyromagnetic ratio
#Electron
0        0        2        -263377
#Hydrogen
1        3        2        426.791
1        2        3        61.424
1        1        2        400.13
#Helium
2        3        2        304.811
2        4        1        -1.1e+06
2        6        1        -1.1e+06
#Lithium
3        8        5        -1.1e+06
3        7        4        155.503
3        6        3        58.883
#Beryllium
4        9        4        56.226
#Boron
5        10        7        42.99
5        11        4        128.33
#Carbon
6        12        1        -1.1e+06
6        13        2        100.613
#Nitrogen
7        15        2        -40.561
7        14        3        28.913
#Oxygen
8        17        6        54.242
8        16        1        -1.1e+06
8        18        1        -1.1e+06
#Fluorine
9        19        2        376.498
#Neon
10        21        1        -1.1e+06
10        21        4        31.586
10        20        1        -1.1e+06
#Sodium
11        23        4        105.842
#Magnesium
12        25        6        24.496
#Aluminum
13        27        6        104.262
#Silicon
14        29        2        79.494
#Phosphorus
15        31        2        161.977
#Sulfur
16        33        4        30.714
#Chlorine
17        37        4        32.635
17        35        4        39.205
#Potassium
19        39        4        18.67
19        41        4        10.247
#Calcium
20        43        8        26.925
#Scandium
21        45        8        97.2
#Titanium
22        49        8        22.557
22        47        6        22.563
#Vanadium
23        50        13        39.893
23        51        8        105.246
#Chromium
24        53        4        22.615
#Manganese
25        55        6        99.012
#Iron
26        57        2        12.956
#Cobalt
27        59        8        94.939
#Nickel
28        61        4        35.756
#Copper
29        63        4        106.146
29        65        4        113.705
#Zinc
30        67        6        25.036
#Gallium
31        71        4        122.028
31        69        4        96.035
31        73        10        13.957
#Germanium
32        75        4        68.514
#Arsenic
33        77        2        76.313
#Selenium
34        79        4        100.249
#Bromine
35        81        4        108.063
#Rubidium
37        85        6        38.633
37        87        4        130.927
#Strontium
38        87        10        17.342
#Yttrium
39        89        2        19.606
#Zirconium
40        91        6        37.196
#Niobium
41        93        10        97.936
#Molybdenum
42        95        6        26.076
42        97        6        26.625
#Technetium
43        99        10        90.061
#Ruthenium
44        99        6        18.462
44        101        6        20.691
#Rhodium
45        103        2        12.744
#Palladium
46        105        6        18.31
#Silver
47        109        2        18.622
47        107        2        16.197
#Cadmium
48        111        2        84.832
48        113        2        88.741
#Indium
49        113        10        87.492
49        115        10        87.68
#Tin
50        119        2        149.212
50        117        2        142.574
#Antimony
51        121        6        95.755
51        123        8        51.853
#Tellurium
52        125        2        126.241
52        123        2        104.714
#Iodine
53        127        6        80.062
#Xenon
54        129        2        110.668
54        131        4        32.811
#Cesium
55        133        8        52.481
#Barium
56        135        4        39.749
56        137        4        44.466
#Lanthanum
57        139        8        56.522
57        138        11        52.793
#Praseodymium
59        141        6        117.202
#Neodymium
60        145        8        13.384
60        143        8        21.755
#Samarium
62        149        8        13.16
62        147        8        16.517
#Europium
63        151        6        99.236
63        153        6        43.818
#Gadolinium
64        157        4        19.102
64        155        4        15.281
#Terbium
65        159        4        90.741
#Dysprosium
66        161        6        13.18
66        163        6        18.338
#Holmium
67        165        8        82.079
#Erbium
68        167        8        11.564
#Thulium
69        169        2        33.095
#Ytterbium
70        173        6        19.414
70        171        2        70.475
#Lutetium
71        176        15        31.722
71        175        8        45.643
#Hafnium
72        179        10        7.478
72        177        8        12.484
#Tantalum
73        181        8        47.976
#Tungsten
74        183        2        16.669
#Rhenium
75        185        6        90.129
75        187        6        91.038
#Osmium
76        189        4        31.07
76        187        2        9.131
#Iridium
77        191        4        6.874
77        193        4        7.486
#Platinum
78        195        2        85.876
#Gold
79        197        4        6.918
#Mercury
80        201        4        26.457
80        199        2        71.667
#Thallium
81        205        2        231.219
81        203        2        228.97
#Lead
82        207        2        83.459
#Bismuth
83        209        10        64.297
#Astatine
85        211        10        -1.1e+06
#Actinium
89        227        4        -1.1e+06
#Thorium
90        229        6        -1.1e+06
#Protactinium
91        233        4        -1.1e+06
91        231        4        -1.1e+06
#Uranium
92        235        8        7.162
